section,code,indicator,yes_bar,n_lessons,n_cells,na_rate,pooled_p_yes,ac1,kripp_alpha,pairwise_agreement,ac1_dedup,mean_flip_rate,n_lessons_flipped,pct_lessons_flipped,n_disagreements,n_verdicts,p_unstable,lesson_yes_sd,lesson_yes_min,lesson_yes_max,n_lessons_yes,n_lessons_no,chi2_discrimination,p_discriminates,mean_confidence,conf_when_yes,conf_when_no,votes_needed,q_unstable,q_discriminates,reliable,discriminates,verdict_class
B,B1,Instructional Clarity & Learning Objectives,"Clear objective stated, referred to during lesson, linked to classroom activities.",10,96,0.04,0.4895833333333333,0.9600159936025592,0.9587494572297004,0.98,0.9500312304809494,0.0099999999999999,1,0.1,1,96,0.9927311432903873,0.5173651192984183,0.0,1.0,5,5,92.39843682153712,5.369480233155637e-16,0.7798958333333332,0.7127659574468085,0.8442857142857144,1.0,1.0,1.5034544652835782e-14,True,True,HEALTHY
B,B2,Lesson Structure & Sequence,Clear I Do -> We Do -> You Do sequence. Logical flow with transitions.,10,96,0.04,0.4895833333333333,0.5520865670317974,0.5645776040912819,0.7755555555555556,0.6979888804996911,0.1566666666666666,5,0.5,15,96,8.46706520453342e-05,0.4076581719838144,0.0,1.0,5,4,58.2502822405558,2.909903186166253e-09,0.6965625000000001,0.6489361702127661,0.7422448979591836,5.0,0.0029634728215866,3.491883823399504e-08,False,True,NOISY
B,B3,Activities & Tasks Alignment,Most activities directly support the learning objective.,10,96,0.04,0.8229166666666666,0.9349865329246771,0.8349466368826011,0.9533333333333334,0.9123219038672304,0.03,1,0.1,3,96,0.8641871509519727,0.3653004851412662,0.0,1.0,8,2,81.58927773641102,7.807354344040967e-14,0.770625,0.7768354430379747,0.741764705882353,1.0,1.0,1.7956914991294225e-12,True,True,HEALTHY
B,B4,Activation of Prior Knowledge,Teacher connects new content to previously taught material.,10,96,0.04,0.6458333333333334,0.733913884857281,0.6695129664769134,0.8533333333333333,0.6414017929910351,0.1,3,0.3,10,96,0.0219276426041018,0.4195235392680606,0.0,1.0,7,3,67.14535104364327,5.50968493010454e-11,0.7258333333333334,0.7358064516129031,0.7076470588235294,3.0,0.6797569207271561,9.366464381177715e-10,True,True,HEALTHY
B,B5,Meaningful & Real-World Connections,Content connected to students' lives or local context.,10,96,0.04,0.5208333333333334,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.5270462766947299,0.0,1.0,5,5,96.0,1.0109131186582484e-16,0.7953125,0.7903999999999999,0.8006521739130434,1.0,1.0,2.931648044108921e-15,True,True,HEALTHY
B,B6,Differentiation / Catering to Learning Levels,Tasks differentiated for at least 2 ability groups.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.8239583333333335,,0.8239583333333335,1.0,1.0,,True,False,UNINFORMATIVE
B,B7,Use of Taleemabad Lesson Plan,Plan followed with minor contextual adaptations.,10,96,0.04,0.0104166666666666,0.97959600081616,0.0,0.98,0.974367190003204,0.0099999999999999,1,0.1,1,96,0.9927311432903873,0.0316227766016837,0.0,0.1,0,10,8.690526315789473,0.4663176900886782,0.6699999999999999,0.53,0.6714736842105263,1.0,1.0,0.9326353801773564,True,False,UNINFORMATIVE
B,B8,Use of Prescribed Resources,Key resources used as prescribed in lesson plan.,10,96,0.04,0.125,0.8647734956051386,0.4973544973544973,0.8933333333333333,0.8210290827740493,0.08,2,0.2,8,96,0.1078859403759655,0.2529822128134703,0.0,0.6,2,8,52.11428571428572,4.300847977732259e-08,0.6784374999999999,0.5691666666666667,0.6940476190476189,3.0,1.0,2.6002267339164864e-07,True,True,HEALTHY
B,B9,Time on Task / Time on Learning,70-85% on task with efficient transitions.,10,96,0.04,0.6979166666666666,0.7393176923948771,0.6251501115114084,0.8466666666666667,0.7882477501323452,0.11,3,0.3,11,96,0.0085544109897675,0.3900142447541002,0.0,1.0,6,4,63.27205352547607,3.1244959776027916e-10,0.6311458333333333,0.6340298507462686,0.6244827586206896,3.0,0.2822955626623278,4.686743966404187e-09,True,True,HEALTHY
B,B10,Lesson Closure & Consolidation,"Structured closure: recap key points, check understanding.",10,96,0.04,0.40625,0.8855398702785198,0.8717948717948718,0.94,0.8605461940732133,0.0299999999999999,3,0.3,3,96,0.8641871509519727,0.4840798832148815,0.0,1.0,4,6,84.80647773279351,1.7832880043441097e-14,0.7540625,0.6310256410256411,0.8382456140350878,1.0,1.0,4.458220010860274e-13,True,True,HEALTHY
C,C1,Quality Questioning (Bloom's Aligned),Purposeful mix including application & analysis questions. Open-ended questions dominate. Wait time given.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.8822916666666668,,0.8822916666666668,1.0,1.0,,True,False,UNINFORMATIVE
C,C2,Responsive Re-explanation & Adaptive Teaching,"Uses alternative representations (visual, concrete, analogy). Adjusts teaching to student level.",10,96,0.04,0.1145833333333333,0.9751305645361852,0.8983957219251337,0.98,0.9672265464973372,0.0099999999999999,1,0.1,1,96,0.9927311432903873,0.3142893217686178,0.0,1.0,1,9,87.12898395721923,6.123165375188393e-15,0.7323958333333334,0.6918181818181818,0.7376470588235294,1.0,1.0,1.5920229975489822e-13,True,True,HEALTHY
C,C3,Effective Feedback,Specific feedback on what was done well and what to improve. Actionable.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.8990625,,0.8990625,1.0,1.0,,True,False,UNINFORMATIVE
C,C4,Equitable Participation,"Deliberate strategies: cold call, pair-share, name sticks. Diverse students included.",10,96,0.04,0.28125,0.3975678203928904,0.1421840520069184,0.6422222222222221,0.41301775147929,0.2433333333333333,8,0.8,23,96,2.8750727734298514e-10,0.2206891562893467,0.0,0.7,1,8,21.63220611916264,0.0101206383288969,0.62875,0.5814814814814815,0.647246376811594,9.0,1.0350261984347466e-08,0.0303619149866907,False,True,NOISY
C,C5,Student Agency & Voice,Students make choices about how to demonstrate learning. Explore multiple perspectives.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.9006249999999999,,0.9006249999999999,1.0,1.0,,True,False,UNINFORMATIVE
C,C6,Classroom Management & Routines,"Clear routines (entry, transitions, dismissal); minimal disruptions. Expectations clear.",10,96,0.04,0.1979166666666666,0.7372709434966243,0.5079365079365079,0.8244444444444443,0.7390007457121551,0.1299999999999999,5,0.5,11,96,0.0085544109897675,0.3142893217686178,0.0,0.9,1,7,53.79412166780587,2.065801383240469e-08,0.6284375,0.5642105263157896,0.6442857142857142,3.0,0.2822955626623278,1.6526411065923758e-07,True,True,HEALTHY
C,C7,Positive & Supportive Learning Environment,"Warm, encouraging tone; mistakes treated as learning opportunities.",10,96,0.04,0.7916666666666666,0.8615916955017301,0.7638888888888888,0.9111111111111112,0.9355704697986575,0.0666666666666666,2,0.2,6,96,0.348045615722921,0.3944053188733077,0.0,1.0,7,2,75.78947368421052,1.1035331742010825e-12,0.7012499999999999,0.7292105263157894,0.595,3.0,1.0,2.207066348402165e-11,True,True,HEALTHY
C,C8,"Modeling, Scaffolding & Problem-Solving",I Do -> We Do -> You Do scaffolding visible. Problem-solving and creativity modeled with clear strategies.,10,96,0.04,0.0833333333333333,0.9218261413383364,0.5501893939393939,0.9333333333333332,0.8983739837398372,0.04,2,0.2,4,96,0.7127694156159957,0.2201009869229223,0.0,0.7,1,9,56.727272727272734,5.698933187009385e-09,0.7096874999999999,0.59625,0.72,1.0,1.0,6.268826505710325e-08,True,True,HEALTHY
C,C9,Collaborative Learning,Purposeful pair/group tasks with clear roles. Students work towards synthesized solutions.,10,96,0.04,0.0833333333333333,0.9218261413383364,0.5501893939393939,0.9333333333333332,0.8983739837398372,0.04,2,0.2,4,96,0.7127694156159957,0.2201009869229223,0.0,0.7,1,9,56.727272727272734,5.698933187009385e-09,0.7452083333333333,0.6112500000000001,0.7573863636363636,1.0,1.0,6.268826505710325e-08,True,True,HEALTHY
C,C10,Integration of Taleemabad Technology,Taleemabad videos/apps used to support learning objectives.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.9189583333333332,,0.9189583333333332,1.0,1.0,,True,False,UNINFORMATIVE
C,C11,Self & Peer Assessment Facilitation,Self- and peer-assessment structured and purposeful. Students use rubrics to assess work.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.8310416666666667,,0.8310416666666667,1.0,1.0,,True,False,UNINFORMATIVE
C,C12,Classroom Resources & Space for Collaboration,Resources and space well-organized for collaborative tasks. Materials accessible.,10,96,0.04,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,96,1.0,0.0,0.0,0.0,0,10,,,0.7176041666666668,,0.7176041666666668,1.0,1.0,,True,False,UNINFORMATIVE
D,D1,Active Participation Rate,"50-75% actively participating (writing, discussing, solving).",10,96,0.04,0.90625,0.9016715830875122,0.5012061870299418,0.9177777777777776,0.8715779426439325,0.05,2,0.2,5,96,0.5274819236917063,0.2233582075700127,0.3,1.0,9,1,52.45057471264368,3.7146096198806956e-08,0.6558333333333334,0.6622988505747127,0.5933333333333333,1.0,1.0,2.6002267339164864e-07,True,True,HEALTHY
D,D2,Cognitive Engagement Level (Bloom's),Students applying concepts to new problems (Bloom's Apply/Analyze).,10,96,0.04,0.3541666666666667,0.9004149377593361,0.9278937381404174,0.9466666666666668,0.8799999999999999,0.0333333333333333,1,0.1,2,96,0.9560042883365546,0.4830458915396479,0.0,1.0,4,6,90.1707779886148,1.5045436571184884e-15,0.7780208333333333,0.6276470588235294,0.8604838709677419,1.0,1.0,4.062267874219918e-14,True,True,HEALTHY
