section,code,indicator,n_sessions,n_lessons,grand_mean,within_sd,between_session_sd,between_lesson_sd,min_session_mean,max_session_mean,na_rate,signal_to_noise
B,B1,Instructional Clarity & Learning Objectives,10,8,2.0900000000000003,0.1537138444929107,0.9230986464680312,0.9221239070753996,1.0,3.0,0.0,5.998964570285843
B,B2,Lesson Structure & Sequence,10,8,2.44,0.258058250111816,0.518973345494095,0.5592964330299274,1.5,3.0,0.0,2.1673263024436755
B,B3,Activities & Tasks Alignment,10,8,2.81,0.0904682912895431,0.3604010112206803,0.3955105199973465,2.0,3.0,0.0,4.371813752196531
B,B4,Activation of Prior Knowledge,10,8,2.42,0.1853366210945945,0.6663332499583072,0.6854352110677044,1.0,3.0,0.0,3.698325819363368
B,B5,Meaningful & Real-World Connections,10,8,2.15,0.219229736771705,0.95248213748197,0.9960412713767006,1.0,3.1,0.0,4.54336754695796
B,B6,Differentiation / Catering to Learning Levels,10,8,1.49,0.1981478857039158,0.472463990397387,0.4708939067651772,1.0,2.2,0.0,2.376477069600502
B,B7,Use of Taleemabad Lesson Plan,10,8,1.2,0.166525109102232,0.3231786571610885,0.3484019640751593,1.0,1.9,0.0,2.0921887753351998
B,B8,Use of Prescribed Resources,10,8,1.36,0.2253706237900914,0.4903513479582211,0.5284748946598261,1.0,2.4,0.0,2.344914726561896
B,B9,Time on Task / Time on Learning,10,8,2.53,0.1770660346361266,0.4423422506008968,0.445563447462071,2.0,3.0,0.0,2.5163688133509656
B,B10,Lesson Closure & Consolidation,10,8,1.84,0.1970830359838751,0.7042726744663604,0.7578164119928481,1.0,3.0,0.0,3.845163071543362
C,C1,Quality Questioning (Bloom's Aligned),10,8,1.4,0.0,0.5163977794943223,0.5175491695067657,1.0,2.0,0.0,
C,C2,Responsive Re-explanation & Adaptive Teaching,10,8,2.03,0.099944367103397,0.5417051268397268,0.613974173491268,1.0,3.0,0.0,6.14315935240336
C,C3,Effective Feedback,10,8,1.27,0.1420087818841545,0.4164666186436128,0.4523253411933873,1.0,2.0,0.0,3.185192740843151
C,C4,Equitable Participation,10,8,2.46,0.2696640253657513,0.4115013163202923,0.4094857402017455,2.0,3.0,0.0,1.5185034030636857
C,C5,Student Agency & Voice,10,8,1.37,0.2475173245779214,0.3917198545446024,0.4187033556111056,1.0,2.0,0.0,1.691612319764279
C,C6,Classroom Management & Routines,10,8,2.28,0.2020184336468755,0.373571352696584,0.3524784694539106,2.0,2.9,0.0,1.7447836966701582
C,C7,Positive & Supportive Learning Environment,10,8,2.8,0.1032795558988644,0.3527668414752787,0.3720119045714224,2.0,3.0,0.0,3.6019897774900547
C,C8,"Modeling, Scaffolding & Problem-Solving",10,8,2.22,0.1315671437050808,0.5940445175985457,0.6516120120790548,1.0,3.0,0.0,4.9526955874310055
C,C9,Collaborative Learning,10,8,1.89,0.0737864787372621,0.5300943312279428,0.5948814407690228,1.0,2.8,0.0,8.062201245397114
C,C10,Integration of Taleemabad Technology,10,8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
C,C11,Self & Peer Assessment Facilitation,10,8,1.4,0.0,0.5163977794943223,0.4629100498862757,1.0,2.0,0.0,
C,C12,Classroom Resources & Space for Collaboration,10,8,1.6,0.0,0.5163977794943223,0.5175491695067657,1.0,2.0,0.0,
D,D1,Active Participation Rate,10,8,2.8600000000000003,0.1264911064067351,0.3062315754094893,0.3420004177106889,2.0,3.0,0.0,2.7037507017369142
D,D2,Cognitive Engagement Level (Bloom's),10,8,1.9,0.1686548085423135,0.7760297817881877,0.8128158726656012,1.0,3.0,0.0,4.819405267426306
D,D3,Student-to-Student Interaction,10,8,1.83,0.1981478857039158,0.4110960958218893,0.4048258002788713,1.0,2.5,0.0,2.0430488008526404
D,D4,Student Confidence & Risk-Taking,10,8,2.51,0.2002775851439973,0.438304815295373,0.4471636804827256,2.0,3.0,0.0,2.232719553519781
D,D5,On-Task Behavior During Independent Work,10,8,2.21,0.252593361876267,0.5279941077112299,0.5885439053897581,1.0,3.0,0.0,2.3300054325182806
D,D6,Student Use of Learning Materials,10,8,2.39,0.1747956955607,0.6384877968032487,0.6952645950592171,1.0,3.0,0.0,3.9775841895247233
D,D7,Inclusivity of Engagement,10,8,2.83,0.1254262566866944,0.3198958163736021,0.3550025150816339,2.0,3.0,0.0,2.830368412958413
F,F1,Content Accuracy,10,8,1.96,0.0938034800850106,0.2951459149490487,0.3338091841585121,1.2,2.4,0.0,3.5586012785026004
F,F2,Use of Academic Language,10,8,2.72,0.1220910678912269,0.4417138339593985,0.4720774754816659,2.0,3.1,0.0,3.8666012480310825
F,F3,Anticipation of Student Misconceptions,10,8,2.1100000000000003,0.2002775851439973,0.6539622822966678,0.6860862086606068,1.0,3.0,0.0,3.42567645883746
F,F4,Depth of Explanation,10,8,2.06,0.1054092553389459,0.518973345494095,0.5873670062235364,1.0,2.9,0.0,5.572252686302011
F,F5,Subject-Specific Pedagogy: MATH,3,3,2.333333333333333,0.0,1.1547005383792517,1.1547005383792517,1.0,3.0,0.0,
F,F6,Subject-Specific Pedagogy: SCIENCE,0,0,,,,,,,1.0,
F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,7,5,1.6,0.0602338601936834,0.5033222956847166,0.5176871642217914,1.0,2.0,0.0,8.59462041046607
F,F8,Cross-Curricular Connections,10,8,1.38,0.138772880443508,0.5138093031466052,0.5576977548047739,1.0,2.3,0.0,4.01878056449079
