session_id,section,code,indicator,n,n_yes,p_yes,verdict,flip,single_pass_error,grade
Lesson-01,B,B1,Instructional Clarity & Learning Objectives,10,10.0,1.0,YES,False,0.0,stable
Lesson-01,B,B3,Activities & Tasks Alignment,10,10.0,1.0,YES,False,0.0,stable
Lesson-01,B,B4,Activation of Prior Knowledge,10,10.0,1.0,YES,False,0.0,stable
Lesson-01,B,B5,Meaningful & Real-World Connections,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,B,B6,Differentiation / Catering to Learning Levels,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,B,B7,Use of Taleemabad Lesson Plan,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,B,B8,Use of Prescribed Resources,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,B,B10,Lesson Closure & Consolidation,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C1,Quality Questioning (Bloom's Aligned),10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C2,Responsive Re-explanation & Adaptive Teaching,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C3,Effective Feedback,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C5,Student Agency & Voice,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C7,Positive & Supportive Learning Environment,10,3.0,0.3,NO,True,0.3,material
Lesson-01,C,C8,"Modeling, Scaffolding & Problem-Solving",10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C9,Collaborative Learning,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C10,Integration of Taleemabad Technology,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C11,Self & Peer Assessment Facilitation,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,C,C12,Classroom Resources & Space for Collaboration,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,D,D1,Active Participation Rate,10,10.0,1.0,YES,False,0.0,stable
Lesson-01,D,D2,Cognitive Engagement Level (Bloom's),10,8.0,0.8,YES,True,0.1999999999999999,material
Lesson-01,D,D3,Student-to-Student Interaction,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,D,D7,Inclusivity of Engagement,10,8.0,0.8,YES,True,0.1999999999999999,material
Lesson-01,F,F1,Content Accuracy,10,0.0,0.0,NO,False,0.0,stable
Lesson-01,F,F2,Use of Academic Language,10,10.0,1.0,YES,False,0.0,stable
Lesson-01,F,F3,Anticipation of Student Misconceptions,10,0.0,0.0,NO,False,0.0,stable
