section,code,indicator,pooled_p_yes_14,ac1_14,mean_flip_rate_14,n_lessons_flipped_14,verdict_class_14,pooled_p_yes_bin,ac1_bin,mean_flip_rate_bin,n_lessons_flipped_bin,verdict_class_bin,ac1_delta,flip_delta,class_changed,yes_bar,n_lessons,n_lessons_yes,n_lessons_no,pooled_p_yes,conf_when_yes,conf_when_no,na_rate,within_sd,grand_mean,signal_to_noise,flip_avg,ac1_worst,transcription_sensitive,category
F,F6,Subject-Specific Pedagogy: SCIENCE,,,,0,UNTESTED,,,,0,UNTESTED,,,False,Hands-on activities present; students make predictions and observations.,0,0,0,,,,1.0,,,,,,False,NOT APPLICABLE
F,F7,Subject-Specific Pedagogy: LITERACY / LANGUAGE,0.0,1.0,0.0,0,UNINFORMATIVE,0.2424242424242424,0.8430713184811546,0.0571428571428571,2,HEALTHY,-0.1569286815188454,0.0571428571428571,True,"Teacher models reading strategies (prediction, summarizing, questioning). Balanced approach.",7,2,5,0.2424242424242424,0.578125,0.7235999999999998,0.34,0.0602338601936834,1.6,8.59462041046607,0.02857142857142855,0.8430713184811546,False,UNINFORMATIVE
F,F8,Cross-Curricular Connections,0.03,0.9504494938769732,0.03,1,HEALTHY,0.0104166666666666,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,0.0291465069391868,-0.02,True,Meaningful connections made to at least one other subject area.,10,0,10,0.0104166666666666,0.54,0.8155789473684211,0.04,0.138772880443508,1.38,4.01878056449079,0.01999999999999995,0.9504494938769732,False,UNINFORMATIVE
B,B6,Differentiation / Catering to Learning Levels,0.02,0.9629938014617448,0.0199999999999999,1,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0370061985382551,-0.0199999999999999,False,Tasks differentiated for at least 2 ability groups.,10,0,10,0.0,,0.8239583333333335,0.04,0.1981478857039158,1.49,2.376477069600502,0.00999999999999995,0.9629938014617448,False,UNINFORMATIVE
B,B7,Use of Taleemabad Lesson Plan,0.0,1.0,0.0,0,UNINFORMATIVE,0.0104166666666666,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,-0.0204039991838399,0.0099999999999999,False,Plan followed with minor contextual adaptations.,10,0,10,0.0104166666666666,0.53,0.6714736842105263,0.04,0.166525109102232,1.2,2.0921887753351998,0.00499999999999995,0.97959600081616,False,UNINFORMATIVE
C,C3,Effective Feedback,0.01,0.97959600081616,0.0099999999999999,1,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0204039991838399,-0.0099999999999999,False,Specific feedback on what was done well and what to improve. Actionable.,10,0,10,0.0,,0.8990625,0.04,0.1420087818841545,1.27,3.185192740843151,0.00499999999999995,0.97959600081616,False,UNINFORMATIVE
C,C1,Quality Questioning (Bloom's Aligned),0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False,Purposeful mix including application & analysis questions. Open-ended questions dominate. Wait time given.,10,0,10,0.0,,0.8822916666666668,0.04,0.0,1.4,,0.0,1.0,False,UNINFORMATIVE
C,C5,Student Agency & Voice,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False,Students make choices about how to demonstrate learning. Explore multiple perspectives.,10,0,10,0.0,,0.9006249999999999,0.04,0.2475173245779214,1.37,1.691612319764279,0.0,1.0,False,UNINFORMATIVE
C,C10,Integration of Taleemabad Technology,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False,Taleemabad videos/apps used to support learning objectives.,10,0,10,0.0,,0.9189583333333332,0.04,0.0,1.0,,0.0,1.0,False,UNINFORMATIVE
C,C11,Self & Peer Assessment Facilitation,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False,Self- and peer-assessment structured and purposeful. Students use rubrics to assess work.,10,0,10,0.0,,0.8310416666666667,0.04,0.0,1.4,,0.0,1.0,False,UNINFORMATIVE
C,C12,Classroom Resources & Space for Collaboration,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False,Resources and space well-organized for collaborative tasks. Materials accessible.,10,0,10,0.0,,0.7176041666666668,0.04,0.0,1.6,,0.0,1.0,False,UNINFORMATIVE
C,C4,Equitable Participation,0.46,0.5760466348701644,0.1199999999999999,7,HEALTHY,0.28125,0.3975678203928904,0.2433333333333333,8,NOISY,-0.1784788144772739,0.1233333333333333,True,"Deliberate strategies: cold call, pair-share, name sticks. Diverse students included.",10,1,8,0.28125,0.5814814814814815,0.647246376811594,0.04,0.2696640253657513,2.46,1.5185034030636857,0.1816666666666666,0.3975678203928904,False,UNRELIABLE
D,D5,On-Task Behavior During Independent Work,0.31,0.5533807138141288,0.19,5,NOISY,0.4166666666666667,0.6048788867892115,0.1266666666666666,5,HEALTHY,0.0514981729750827,-0.0633333333333333,True,Students sustain focus for most of independent work time.,10,5,5,0.4166666666666667,0.5745000000000001,0.6946428571428572,0.04,0.252593361876267,2.21,2.3300054325182806,0.1583333333333333,0.5533807138141288,True,UNRELIABLE
B,B2,Lesson Structure & Sequence,0.49,0.6490292771780178,0.11,5,HEALTHY,0.4895833333333333,0.5520865670317974,0.1566666666666666,5,NOISY,-0.0969427101462204,0.0466666666666666,True,Clear I Do -> We Do -> You Do sequence. Logical flow with transitions.,10,5,4,0.4895833333333333,0.6489361702127661,0.7422448979591836,0.04,0.258058250111816,2.44,2.1673263024436755,0.1333333333333333,0.5520865670317974,True,UNRELIABLE
C,C6,Classroom Management & Routines,0.28,0.7170092344355079,0.1,5,HEALTHY,0.1979166666666666,0.7372709434966243,0.1299999999999999,5,HEALTHY,0.0202617090611163,0.0299999999999999,False,"Clear routines (entry, transitions, dismissal); minimal disruptions. Expectations clear.",10,1,7,0.1979166666666666,0.5642105263157896,0.6442857142857142,0.04,0.2020184336468755,2.28,1.7447836966701582,0.11499999999999995,0.7170092344355079,True,UNRELIABLE
D,D4,Student Confidence & Risk-Taking,0.51,0.6579146119330044,0.1299999999999999,5,HEALTHY,0.5208333333333334,0.6908673379261614,0.1,4,HEALTHY,0.032952725993157,-0.0299999999999999,False,Students attempt challenging tasks; some comfortable with mistakes.,10,6,4,0.5208333333333334,0.6292,0.7052173913043478,0.04,0.2002775851439973,2.51,2.232719553519781,0.11499999999999995,0.6579146119330044,False,UNRELIABLE
B,B9,Time on Task / Time on Learning,0.53,0.676719365838537,0.11,4,HEALTHY,0.6979166666666666,0.7393176923948771,0.11,3,HEALTHY,0.0625983265563401,0.0,False,70-85% on task with efficient transitions.,10,6,4,0.6979166666666666,0.6340298507462686,0.6244827586206896,0.04,0.1770660346361266,2.53,2.5163688133509656,0.11,0.676719365838537,False,UNRELIABLE
D,D6,Student Use of Learning Materials,0.49,0.6845706161979652,0.11,4,HEALTHY,0.6041666666666666,0.7165435492183473,0.0933333333333333,4,HEALTHY,0.031972933020382,-0.0166666666666666,False,Students actively use materials to solve problems or practice.,10,6,4,0.6041666666666666,0.6610344827586208,0.6686842105263158,0.04,0.1747956955607,2.39,3.9775841895247233,0.10166666666666666,0.6845706161979652,True,UNRELIABLE
D,D7,Inclusivity of Engagement,0.83,0.8483019101575804,0.0699999999999999,3,HEALTHY,0.7916666666666666,0.7156460785610369,0.1066666666666666,6,HEALTHY,-0.1326558315965434,0.0366666666666666,False,Students across ability levels and genders are participating.,10,9,1,0.7916666666666666,0.6363157894736842,0.5985,0.04,0.1254262566866944,2.83,2.830368412958413,0.08833333333333325,0.7156460785610369,False,ok
B,B4,Activation of Prior Knowledge,0.53,0.7564323989194458,0.0699999999999999,4,HEALTHY,0.6458333333333334,0.733913884857281,0.1,3,HEALTHY,-0.0225185140621647,0.03,False,Teacher connects new content to previously taught material.,10,7,3,0.6458333333333334,0.7358064516129031,0.7076470588235294,0.04,0.1853366210945945,2.42,3.698325819363368,0.08499999999999995,0.733913884857281,False,ok
F,F3,Anticipation of Student Misconceptions,0.29,0.7846537458914203,0.0699999999999999,4,HEALTHY,0.2083333333333333,0.8104575163398694,0.1,3,HEALTHY,0.025803770448449,0.03,False,Anticipates and addresses at least 1-2 common misconceptions.,10,1,8,0.2083333333333333,0.6619999999999999,0.6775,0.04,0.2002775851439973,2.1100000000000003,3.42567645883746,0.08499999999999995,0.7846537458914203,True,ok
F,F2,Use of Academic Language,0.71,0.8602138350523251,0.05,2,HEALTHY,0.7291666666666666,0.7760439242883976,0.1,3,HEALTHY,-0.0841699107639274,0.05,False,Key terms used accurately and explained to students.,10,7,2,0.7291666666666666,0.6085714285714285,0.6330769230769231,0.04,0.1220910678912269,2.72,3.8666012480310825,0.07500000000000001,0.7760439242883976,False,ok
C,C7,Positive & Supportive Learning Environment,0.8,0.8431372549019608,0.08,2,HEALTHY,0.7916666666666666,0.8615916955017301,0.0666666666666666,2,HEALTHY,0.0184544405997693,-0.0133333333333333,False,"Warm, encouraging tone; mistakes treated as learning opportunities.",10,7,2,0.7916666666666666,0.7292105263157894,0.595,0.04,0.1032795558988644,2.8,3.6019897774900547,0.0733333333333333,0.8431372549019608,True,ok
B,B10,Lesson Closure & Consolidation,0.2,0.7908496732026143,0.1,3,HEALTHY,0.40625,0.8855398702785198,0.0299999999999999,3,HEALTHY,0.0946901970759054,-0.07,False,"Structured closure: recap key points, check understanding.",10,4,6,0.40625,0.6310256410256411,0.8382456140350878,0.04,0.1970830359838751,1.84,3.845163071543362,0.06499999999999995,0.7908496732026143,False,ok
B,B8,Use of Prescribed Resources,0.04,0.9422299248989022,0.04,1,HEALTHY,0.125,0.8647734956051386,0.08,2,HEALTHY,-0.0774564292937636,0.04,False,Key resources used as prescribed in lesson plan.,10,2,8,0.125,0.5691666666666667,0.6940476190476189,0.04,0.2253706237900914,1.36,2.344914726561896,0.06,0.8647734956051386,False,ok
C,C8,"Modeling, Scaffolding & Problem-Solving",0.32,0.7875354107648728,0.08,3,HEALTHY,0.0833333333333333,0.9218261413383364,0.04,2,HEALTHY,0.1342907305734637,-0.04,False,I Do -> We Do -> You Do scaffolding visible. Problem-solving and creativity modeled with clear strategies.,10,1,9,0.0833333333333333,0.59625,0.72,0.04,0.1315671437050808,2.22,4.9526955874310055,0.06,0.7875354107648728,False,ok
