section,code,indicator,pooled_p_yes_14,ac1_14,mean_flip_rate_14,n_lessons_flipped_14,verdict_class_14,pooled_p_yes_bin,ac1_bin,mean_flip_rate_bin,n_lessons_flipped_bin,verdict_class_bin,ac1_delta,flip_delta,class_changed
B,B1,Instructional Clarity & Learning Objectives,0.4646464646464646,0.8892874540542934,0.0299999999999999,2,HEALTHY,0.54,0.8940116587175411,0.04,1,HEALTHY,0.0047242046632476,0.01,False
B,B3,Activities & Tasks Alignment,0.797979797979798,1.0,0.0,0,HEALTHY,0.87,0.9396915654346516,0.03,1,HEALTHY,-0.0603084345653485,0.03,False
B,B4,Activation of Prior Knowledge,0.5353535353535354,0.8410174880763119,0.0399999999999999,4,HEALTHY,0.71,0.724205674562696,0.11,4,HEALTHY,-0.1168118135136159,0.07,False
B,B5,Meaningful & Real-World Connections,0.5050505050505051,1.0,0.0,0,HEALTHY,0.5,1.0,0.0,0,HEALTHY,0.0,0.0,False
B,B6,Differentiation / Catering to Learning Levels,0.0202020202020202,0.958368026644463,0.0199999999999999,2,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.041631973355537,-0.0199999999999999,False
B,B7,Use of Taleemabad Lesson Plan,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
B,B8,Use of Prescribed Resources,0.0404040404040404,0.9229732331985362,0.0399999999999999,2,UNINFORMATIVE,0.06,0.894800120228434,0.06,2,HEALTHY,-0.0281731129701021,0.02,True
B,B10,Lesson Closure & Consolidation,0.3232323232323232,0.8032735284859932,0.0799999999999999,3,HEALTHY,0.39,0.8940183984060367,0.0299999999999999,2,HEALTHY,0.0907448699200434,-0.0499999999999999,False
C,C1,Quality Questioning (Bloom's Aligned),0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
C,C2,Responsive Re-explanation & Adaptive Teaching,0.1313131313131313,0.9396915654346516,0.03,1,HEALTHY,0.1,1.0,0.0,0,HEALTHY,0.0603084345653485,-0.03,False
C,C3,Effective Feedback,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
C,C5,Student Agency & Voice,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,1.0,0.0,0,UNINFORMATIVE,0.0,0.0,False
C,C7,Positive & Supportive Learning Environment,0.8383838383838383,0.927060539752006,0.04,1,HEALTHY,0.73,0.8055830673856426,0.0699999999999999,3,HEALTHY,-0.1214774723663633,0.0299999999999999,False
C,C8,"Modeling, Scaffolding & Problem-Solving",0.2525252525252525,0.8826666666666665,0.05,2,HEALTHY,0.12,0.8647734956051386,0.08,2,HEALTHY,-0.0178931710615278,0.03,False
C,C9,Collaborative Learning,0.0404040404040404,0.9422299248989022,0.04,1,HEALTHY,0.06,0.9398857829876766,0.04,1,HEALTHY,-0.0023441419112256,0.0,False
