framework,cut,section,code,indicator,yes_bar,n_lessons,n_cells,na_rate,pooled_p_met,ci_lo,ci_hi,ac1,kripp_alpha,pairwise_agreement,mean_flip_rate,n_lessons_flipped,n_lessons_met,n_lessons_not,lesson_spread,mean_confidence,votes_needed,p_unstable,p_discriminates,q_unstable,q_discriminates,reliable,discriminates,verdict_class
FICO,native,B,B1,Instructional Clarity & Learning Objectives,Objective mentioned but vague or not referenced during lesson.,3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7856666666666666,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
FICO,native,B,B2,Lesson Structure & Sequence,Some structure but missing key phases (intro/body/close).,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6350000000000002,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,B,B3,Activities & Tasks Alignment,Some activities align but others are filler.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6576666666666664,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,B,B4,Activation of Prior Knowledge,Brief mention but no student input sought.,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.6379999999999999,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,B,B5,Meaningful & Real-World Connections,Teacher mentions a connection but doesn't develop it.,3,30,0.0,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.8755186721991699,0.861244019138756,0.9333333333333332,0.0333333333333333,1,2,1,0.5507570547286103,0.6713333333333333,1.0,0.7853612360570624,2.12401804907845e-06,1.0,1.69921443926276e-05,True,True,HEALTHY
FICO,native,B,B6,Differentiation / Catering to Learning Levels,Aware of different levels but no adapted tasks.,3,30,0.0,0.4333333333333333,0.2737748557646652,0.6080269299918639,0.6943231441048034,0.693815987933635,0.8444444444444444,0.1,1,1,2,0.5131601439446883,0.6983333333333336,3.0,0.1878211868530392,2.2010699092137083e-05,1.0,0.0001540748936449,True,True,HEALTHY
FICO,native,B,B7,Use of Taleemabad Lesson Plan,Plan open but teacher deviates significantly.,0,0,1.0,,,,,,,,0,0,0,0.0,,,,,,,True,False,NOT_ASSESSABLE
FICO,native,B,B8,Use of Prescribed Resources,Some resources used but not as intended.,0,0,1.0,,,,,,,,0,0,0,0.0,,,,,,,True,False,NOT_ASSESSABLE
FICO,native,B,B9,Time on Task / Time on Learning,50–69% on task (significant management/transition time lost).,3,30,0.0,1.0,0.8864866068260312,1.0,1.0,1.0,1.0,0.0,0,3,0,0.0,0.5890000000000001,1.0,1.0,,1.0,,True,False,UNINFORMATIVE
FICO,native,B,B10,Lesson Closure & Consolidation,Teacher rushes through a brief recap.,3,30,0.0,0.3333333333333333,0.1923049808367613,0.5121994835545616,1.0,1.0,1.0,0.0,0,1,2,0.5773502691896258,0.7629999999999999,1.0,1.0,3.059023205018265e-07,1.0,3.976730166523737e-06,True,True,HEALTHY
